
Host: kappa

Timers On : Fri Jul 29 10:05:57 2022
Timers Off: Fri Jul 29 10:06:35 2022

Wall Time:       37.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: USO2AO                          :      0.017u      0.000s      0.002w    113 calls
JK: JK                              :      5.867u      0.017s      3.532w    113 calls
DFH: compute_JK()                   :      5.867u      0.017s      3.531w    113 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    113 calls
DFH: compute_J                      :      1.150u      0.000s      0.680w    113 calls
DFH: compute_K                      :      4.683u      0.017s      2.834w    113 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    113 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.000u      0.000s      0.002w     97 calls
HF: DIIS                            :      0.117u      0.000s      0.256w     94 calls
DIISManager::add_entry              :      0.017u      0.000s      0.188w     89 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.019w     89 calls
bMatrix setup                       :      0.000u      0.000s      0.008w     89 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.004w     89 calls
New vector                          :      0.017u      0.000s      0.007w     89 calls
HF: Form C                          :      0.083u      0.017s      0.085w     94 calls
Grad: V T Perturb                   :      0.517u      0.033s      0.323w      7 calls
Grad: S                             :      0.000u      0.000s      0.009w      7 calls
Grad: JK                            :      5.550u      0.067s      4.247w      7 calls
JKGrad: Amn                         :      1.433u      0.050s      0.875w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      0.333u      0.000s      0.219w      7 calls
JKGrad: UV                          :      0.017u      0.000s      0.016w      7 calls
JKGrad: ABx                         :      0.200u      0.017s      0.093w      7 calls
JKGrad: Amnx                        :      3.550u      0.000s      2.158w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.717u      0.133s      0.509w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.533u      0.067s      5.773w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.517u      0.017s      0.306w      9 calls
| Libint2ERI::Libint2ERI            :      0.300u      0.000s      0.197w      9 calls
DFH: initialize()                   :      2.467u      0.017s      1.599w      9 calls
| Libint2ERI::Libint2ERI            :      0.300u      0.000s      0.188w     18 calls
| DFH: AO Construction              :      1.400u      0.017s      0.842w      9 calls
| DFH: AO-Met. Contraction          :      0.283u      0.000s      0.192w      9 calls
HF: Form core H                     :      0.117u      0.000s      0.563w      8 calls
HF: Form S/X                        :      0.033u      0.017s      0.007w      8 calls
HF: Guess                           :      0.267u      0.000s      0.173w      8 calls
| SAD Guess                         :      0.250u      0.000s      0.166w      3 calls
HF: Form G                          :      1.050u      0.000s      0.611w     97 calls
| JK: D                             :      0.017u      0.000s      0.002w     97 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     97 calls
| JK: JK                            :      1.033u      0.000s      0.602w     97 calls
| | DFH: compute_JK()               :      1.033u      0.000s      0.602w     97 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     97 calls
| | | DFH: compute_J                :      0.317u      0.000s      0.147w     97 calls
| | | DFH: compute_K                :      0.683u      0.000s      0.441w     97 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     97 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.000u      0.000s      0.002w     97 calls
HF: DIIS                            :      0.117u      0.000s      0.256w     94 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.188w     89 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.019w     89 calls
| | bMatrix setup                   :      0.000u      0.000s      0.008w     89 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.004w     89 calls
| | New vector                      :      0.017u      0.000s      0.007w     89 calls
HF: Form C                          :      0.083u      0.017s      0.085w     94 calls
Grad: V T Perturb                   :      0.517u      0.033s      0.323w      7 calls
Grad: S                             :      0.000u      0.000s      0.009w      7 calls
Grad: JK                            :      5.550u      0.067s      4.247w      7 calls
| JKGrad: Amn                       :      1.433u      0.050s      0.875w      7 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.017s      0.145w      7 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      7 calls
| JKGrad: AB                        :      0.333u      0.000s      0.219w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: UV                        :      0.017u      0.000s      0.016w      7 calls
| JKGrad: ABx                       :      0.200u      0.017s      0.093w      7 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w      7 calls
| JKGrad: Amnx                      :      3.550u      0.000s      2.158w      7 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.000s      0.147w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.717u      0.133s      0.509w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.533u      0.067s      5.773w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.017u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w     16 calls
JK: JK                              :      4.833u      0.017s      2.930w     16 calls
| DFH: compute_JK()                 :      4.833u      0.017s      2.930w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      0.833u      0.000s      0.533w     16 calls
| | DFH: compute_K                  :      4.000u      0.017s      2.393w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 10:54:02 2022
Timers Off: Fri Jul 29 10:54:39 2022

Wall Time:       36.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.483u      0.000s      0.305w      9 calls
Libint2ERI::Libint2ERI              :      1.200u      0.017s      0.717w     61 calls
DFH: initialize()                   :      2.483u      0.033s      1.549w      9 calls
DFH: AO Construction                :      1.417u      0.000s      0.849w      9 calls
DFH: AO-Met. Contraction            :      0.317u      0.000s      0.193w      9 calls
HF: Form core H                     :      0.133u      0.000s      0.957w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w      8 calls
HF: Guess                           :      0.283u      0.000s      0.174w      8 calls
SAD Guess                           :      0.250u      0.000s      0.167w      3 calls
HF: Form G                          :      1.117u      0.017s      0.607w     97 calls
JK: D                               :      0.017u      0.000s      0.005w    113 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    113 calls
JK: JK                              :      5.917u      0.067s      3.509w    113 calls
DFH: compute_JK()                   :      5.917u      0.067s      3.508w    113 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    113 calls
DFH: compute_J                      :      1.150u      0.000s      0.693w    113 calls
DFH: compute_K                      :      4.767u      0.050s      2.797w    113 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    113 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.000u      0.000s      0.001w     97 calls
HF: DIIS                            :      0.050u      0.000s      0.221w     94 calls
DIISManager::add_entry              :      0.033u      0.000s      0.150w     89 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.020w     89 calls
bMatrix setup                       :      0.000u      0.000s      0.008w     89 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.005w     89 calls
New vector                          :      0.000u      0.000s      0.007w     89 calls
HF: Form C                          :      0.117u      0.000s      0.085w     94 calls
Grad: V T Perturb                   :      0.533u      0.017s      0.326w      7 calls
Grad: S                             :      0.017u      0.000s      0.009w      7 calls
Grad: JK                            :      5.567u      0.050s      4.160w      7 calls
JKGrad: Amn                         :      1.450u      0.000s      0.875w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      0.350u      0.000s      0.222w      7 calls
JKGrad: UV                          :      0.033u      0.017s      0.016w      7 calls
JKGrad: ABx                         :      0.150u      0.017s      0.094w      7 calls
JKGrad: Amnx                        :      3.583u      0.017s      2.162w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.650u      0.200s      0.513w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.550u      0.083s      5.791w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.483u      0.000s      0.305w      9 calls
| Libint2ERI::Libint2ERI            :      0.333u      0.000s      0.194w      9 calls
DFH: initialize()                   :      2.483u      0.033s      1.549w      9 calls
| Libint2ERI::Libint2ERI            :      0.300u      0.017s      0.184w     18 calls
| DFH: AO Construction              :      1.417u      0.000s      0.849w      9 calls
| DFH: AO-Met. Contraction          :      0.317u      0.000s      0.193w      9 calls
HF: Form core H                     :      0.133u      0.000s      0.957w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w      8 calls
HF: Guess                           :      0.283u      0.000s      0.174w      8 calls
| SAD Guess                         :      0.250u      0.000s      0.167w      3 calls
HF: Form G                          :      1.117u      0.017s      0.607w     97 calls
| JK: D                             :      0.000u      0.000s      0.002w     97 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     97 calls
| JK: JK                            :      1.117u      0.017s      0.598w     97 calls
| | DFH: compute_JK()               :      1.117u      0.017s      0.597w     97 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     97 calls
| | | DFH: compute_J                :      0.250u      0.000s      0.145w     97 calls
| | | DFH: compute_K                :      0.867u      0.017s      0.439w     97 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     97 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.000u      0.000s      0.001w     97 calls
HF: DIIS                            :      0.050u      0.000s      0.221w     94 calls
| DIISManager::add_entry            :      0.033u      0.000s      0.150w     89 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.020w     89 calls
| | bMatrix setup                   :      0.000u      0.000s      0.008w     89 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.005w     89 calls
| | New vector                      :      0.000u      0.000s      0.007w     89 calls
HF: Form C                          :      0.117u      0.000s      0.085w     94 calls
Grad: V T Perturb                   :      0.533u      0.017s      0.326w      7 calls
Grad: S                             :      0.017u      0.000s      0.009w      7 calls
Grad: JK                            :      5.567u      0.050s      4.160w      7 calls
| JKGrad: Amn                       :      1.450u      0.000s      0.875w      7 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.145w      7 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      7 calls
| JKGrad: AB                        :      0.350u      0.000s      0.222w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: UV                        :      0.033u      0.017s      0.016w      7 calls
| JKGrad: ABx                       :      0.150u      0.017s      0.094w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: Amnx                      :      3.583u      0.017s      2.162w      7 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.149w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.650u      0.200s      0.513w      1 calls
Hess: T                             :      0.017u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.550u      0.083s      5.791w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.017u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      4.800u      0.050s      2.911w     16 calls
| DFH: compute_JK()                 :      4.800u      0.050s      2.911w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      0.900u      0.000s      0.548w     16 calls
| | DFH: compute_K                  :      3.900u      0.033s      2.358w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 13:02:30 2022
Timers Off: Fri Jul 29 13:03:11 2022

Wall Time:       40.54 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.533u      0.000s      0.337w     10 calls
Libint2ERI::Libint2ERI              :      1.317u      0.033s      0.795w     68 calls
DFH: initialize()                   :      2.767u      0.100s      2.108w     10 calls
DFH: AO Construction                :      1.550u      0.000s      0.936w     10 calls
DFH: AO-Met. Contraction            :      0.333u      0.017s      0.212w     10 calls
HF: Form core H                     :      0.133u      0.000s      0.434w      9 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      9 calls
HF: Guess                           :      0.267u      0.000s      0.174w      9 calls
SAD Guess                           :      0.267u      0.000s      0.167w      3 calls
HF: Form G                          :      1.050u      0.000s      0.655w    106 calls
JK: D                               :      0.017u      0.000s      0.005w    122 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    122 calls
JK: JK                              :      5.917u      0.000s      3.585w    122 calls
DFH: compute_JK()                   :      5.917u      0.000s      3.585w    122 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    122 calls
DFH: compute_J                      :      1.200u      0.000s      0.715w    122 calls
DFH: compute_K                      :      4.717u      0.000s      2.851w    122 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    122 calls
HF: Form F                          :      0.000u      0.000s      0.002w    106 calls
HF: Form D                          :      0.000u      0.000s      0.002w    106 calls
HF: DIIS                            :      0.117u      0.000s      0.326w    103 calls
DIISManager::add_entry              :      0.017u      0.000s      0.250w     97 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.021w     97 calls
bMatrix setup                       :      0.000u      0.000s      0.008w     97 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.005w     97 calls
New vector                          :      0.000u      0.000s      0.007w     97 calls
HF: Form C                          :      0.117u      0.017s      0.092w    103 calls
Grad: V T Perturb                   :      0.583u      0.050s      0.369w      8 calls
Grad: S                             :      0.017u      0.000s      0.011w      8 calls
Grad: JK                            :      6.367u      0.050s      4.967w      8 calls
JKGrad: Amn                         :      1.617u      0.033s      1.001w      8 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      8 calls
JKGrad: AB                          :      0.417u      0.000s      0.252w      8 calls
JKGrad: UV                          :      0.017u      0.000s      0.018w      8 calls
JKGrad: ABx                         :      0.200u      0.000s      0.107w      8 calls
JKGrad: Amnx                        :      4.083u      0.017s      2.473w      8 calls
Grad: XC                            :      0.000u      0.000s      0.000w      8 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.717u      0.133s      0.507w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.017u      0.000s      0.001w      1 calls
Hess: JK                            :      9.617u      0.083s      5.866w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.533u      0.000s      0.337w     10 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.000s      0.215w     10 calls
DFH: initialize()                   :      2.767u      0.100s      2.108w     10 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.017s      0.205w     20 calls
| DFH: AO Construction              :      1.550u      0.000s      0.936w     10 calls
| DFH: AO-Met. Contraction          :      0.333u      0.017s      0.212w     10 calls
HF: Form core H                     :      0.133u      0.000s      0.434w      9 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      9 calls
HF: Guess                           :      0.267u      0.000s      0.174w      9 calls
| SAD Guess                         :      0.267u      0.000s      0.167w      3 calls
HF: Form G                          :      1.050u      0.000s      0.655w    106 calls
| JK: D                             :      0.000u      0.000s      0.002w    106 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    106 calls
| JK: JK                            :      1.033u      0.000s      0.645w    106 calls
| | DFH: compute_JK()               :      1.033u      0.000s      0.645w    106 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    106 calls
| | | DFH: compute_J                :      0.267u      0.000s      0.157w    106 calls
| | | DFH: compute_K                :      0.767u      0.000s      0.473w    106 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    106 calls
HF: Form F                          :      0.000u      0.000s      0.002w    106 calls
HF: Form D                          :      0.000u      0.000s      0.002w    106 calls
HF: DIIS                            :      0.117u      0.000s      0.326w    103 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.250w     97 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.021w     97 calls
| | bMatrix setup                   :      0.000u      0.000s      0.008w     97 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.005w     97 calls
| | New vector                      :      0.000u      0.000s      0.007w     97 calls
HF: Form C                          :      0.117u      0.017s      0.092w    103 calls
Grad: V T Perturb                   :      0.583u      0.050s      0.369w      8 calls
Grad: S                             :      0.017u      0.000s      0.011w      8 calls
Grad: JK                            :      6.367u      0.050s      4.967w      8 calls
| JKGrad: Amn                       :      1.617u      0.033s      1.001w      8 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.017s      0.165w      8 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      8 calls
| JKGrad: AB                        :      0.417u      0.000s      0.252w      8 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      8 calls
| JKGrad: UV                        :      0.017u      0.000s      0.018w      8 calls
| JKGrad: ABx                       :      0.200u      0.000s      0.107w      8 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      8 calls
| JKGrad: Amnx                      :      4.083u      0.017s      2.473w      8 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.165w      8 calls
Grad: XC                            :      0.000u      0.000s      0.000w      8 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.717u      0.133s      0.507w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.017u      0.000s      0.001w      1 calls
Hess: JK                            :      9.617u      0.083s      5.866w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.022w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.022w      3 calls
JK: D                               :      0.017u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      4.883u      0.000s      2.940w     16 calls
| DFH: compute_JK()                 :      4.883u      0.000s      2.940w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      0.933u      0.000s      0.558w     16 calls
| | DFH: compute_K                  :      3.950u      0.000s      2.378w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 13:22:22 2022
Timers Off: Fri Jul 29 13:23:01 2022

Wall Time:       39.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.500u      0.017s      0.303w      9 calls
Libint2ERI::Libint2ERI              :      1.200u      0.017s      0.709w     61 calls
DFH: initialize()                   :      2.517u      0.067s      1.603w      9 calls
DFH: AO Construction                :      1.400u      0.033s      0.858w      9 calls
DFH: AO-Met. Contraction            :      0.317u      0.000s      0.193w      9 calls
HF: Form core H                     :      0.133u      0.000s      1.139w      8 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w      8 calls
HF: Guess                           :      0.283u      0.017s      0.174w      8 calls
SAD Guess                           :      0.267u      0.017s      0.167w      3 calls
HF: Form G                          :      1.067u      0.017s      0.599w     95 calls
JK: D                               :      0.000u      0.000s      0.005w    111 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    111 calls
JK: JK                              :      6.017u      0.017s      3.597w    111 calls
DFH: compute_JK()                   :      6.017u      0.017s      3.597w    111 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    111 calls
DFH: compute_J                      :      1.050u      0.017s      0.708w    111 calls
DFH: compute_K                      :      4.917u      0.000s      2.871w    111 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    111 calls
HF: Form F                          :      0.000u      0.000s      0.002w     95 calls
HF: Form D                          :      0.000u      0.000s      0.001w     95 calls
HF: DIIS                            :      0.100u      0.000s      0.277w     92 calls
DIISManager::add_entry              :      0.000u      0.000s      0.209w     87 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.019w     87 calls
bMatrix setup                       :      0.000u      0.000s      0.008w     87 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.004w     87 calls
New vector                          :      0.000u      0.000s      0.007w     87 calls
HF: Form C                          :      0.100u      0.000s      0.082w     92 calls
Grad: V T Perturb                   :      0.550u      0.033s      0.323w      7 calls
Grad: S                             :      0.000u      0.000s      0.009w      7 calls
Grad: JK                            :      5.567u      0.067s      4.447w      7 calls
JKGrad: Amn                         :      1.450u      0.000s      0.888w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      0.333u      0.017s      0.221w      7 calls
JKGrad: UV                          :      0.000u      0.017s      0.016w      7 calls
JKGrad: ABx                         :      0.183u      0.017s      0.093w      7 calls
JKGrad: Amnx                        :      3.600u      0.017s      2.167w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.700u      0.167s      0.515w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.667u      0.067s      5.850w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.500u      0.017s      0.303w      9 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.017s      0.192w      9 calls
DFH: initialize()                   :      2.517u      0.067s      1.603w      9 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.000s      0.184w     18 calls
| DFH: AO Construction              :      1.400u      0.033s      0.858w      9 calls
| DFH: AO-Met. Contraction          :      0.317u      0.000s      0.193w      9 calls
HF: Form core H                     :      0.133u      0.000s      1.139w      8 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w      8 calls
HF: Guess                           :      0.283u      0.017s      0.174w      8 calls
| SAD Guess                         :      0.267u      0.017s      0.167w      3 calls
HF: Form G                          :      1.067u      0.017s      0.599w     95 calls
| JK: D                             :      0.000u      0.000s      0.002w     95 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     95 calls
| JK: JK                            :      1.050u      0.017s      0.590w     95 calls
| | DFH: compute_JK()               :      1.050u      0.017s      0.590w     95 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     95 calls
| | | DFH: compute_J                :      0.133u      0.017s      0.144w     95 calls
| | | DFH: compute_K                :      0.867u      0.000s      0.433w     95 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     95 calls
HF: Form F                          :      0.000u      0.000s      0.002w     95 calls
HF: Form D                          :      0.000u      0.000s      0.001w     95 calls
HF: DIIS                            :      0.100u      0.000s      0.277w     92 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.209w     87 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.019w     87 calls
| | bMatrix setup                   :      0.000u      0.000s      0.008w     87 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.004w     87 calls
| | New vector                      :      0.000u      0.000s      0.007w     87 calls
HF: Form C                          :      0.100u      0.000s      0.082w     92 calls
Grad: V T Perturb                   :      0.550u      0.033s      0.323w      7 calls
Grad: S                             :      0.000u      0.000s      0.009w      7 calls
Grad: JK                            :      5.567u      0.067s      4.447w      7 calls
| JKGrad: Amn                       :      1.450u      0.000s      0.888w      7 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.000s      0.144w      7 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      7 calls
| JKGrad: AB                        :      0.333u      0.017s      0.221w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: UV                        :      0.000u      0.017s      0.016w      7 calls
| JKGrad: ABx                       :      0.183u      0.017s      0.093w      7 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      7 calls
| JKGrad: Amnx                      :      3.600u      0.017s      2.167w      7 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.000s      0.144w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.700u      0.167s      0.515w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.667u      0.067s      5.850w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.000u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      4.967u      0.000s      3.007w     16 calls
| DFH: compute_JK()                 :      4.967u      0.000s      3.007w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      0.917u      0.000s      0.565w     16 calls
| | DFH: compute_K                  :      4.050u      0.000s      2.438w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 13:24:46 2022
Timers Off: Fri Jul 29 13:25:29 2022

Wall Time:       42.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.567u      0.000s      0.339w     10 calls
Libint2ERI::Libint2ERI              :      1.333u      0.000s      0.797w     68 calls
DFH: initialize()                   :      2.767u      0.067s      1.709w     10 calls
DFH: AO Construction                :      1.567u      0.000s      0.935w     10 calls
DFH: AO-Met. Contraction            :      0.367u      0.000s      0.217w     10 calls
HF: Form core H                     :      0.150u      0.000s      0.667w      9 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      9 calls
HF: Guess                           :      0.267u      0.017s      0.174w      9 calls
SAD Guess                           :      0.250u      0.017s      0.167w      3 calls
HF: Form G                          :      0.983u      0.000s      0.671w    106 calls
JK: D                               :      0.000u      0.000s      0.006w    122 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    122 calls
JK: JK                              :      5.983u      0.000s      3.659w    122 calls
DFH: compute_JK()                   :      5.983u      0.000s      3.658w    122 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    122 calls
DFH: compute_J                      :      1.233u      0.000s      0.728w    122 calls
DFH: compute_K                      :      4.733u      0.000s      2.910w    122 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    122 calls
HF: Form F                          :      0.000u      0.000s      0.002w    106 calls
HF: Form D                          :      0.000u      0.000s      0.002w    106 calls
HF: DIIS                            :      0.183u      0.000s      0.452w    103 calls
DIISManager::add_entry              :      0.000u      0.000s      0.376w     97 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.022w     97 calls
bMatrix setup                       :      0.000u      0.000s      0.009w     97 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.005w     97 calls
New vector                          :      0.017u      0.000s      0.007w     97 calls
